--- BÁO CÁO CÁC NÚT ĐANG HOẠT ĐỘNG (ACTIVE) ---
Tổng cộng: 210 nút.
--------------------------------------------------
ID: 5214   | Labels: Cuối cầu thang khu H
ID: 5218   | Labels: Phòng 16 (Tòa F)
ID: 5233   | Labels: H2.3
ID: 5283   | Labels: Phòng Tổ chức - Hành chính (Tòa F)
ID: 5304   | Labels: Phòng thí nghiệm hóa phân tích chuyên ngành B.28
ID: 5337   | Labels: Văn phòng hiệu trưởng
ID: 5338   | Labels: Phòng E107
ID: 5376   | Labels: Phòng bộ môn hải dương - khí tượng - thuỷ văn B.35
ID: 5451   | Labels: Phòng 103 (Tòa F)
ID: 5494   | Labels: Phòng E106
ID: 5569   | Labels: Cuối cầu thang bên phải tòa B tầng 3
ID: 5602   | Labels: Phòng 208 (Tòa F - Phòng máy Toán Tin)
ID: 5619   | Labels: Phòng 08 (Tòa F)
ID: 5661   | Labels: B.22
ID: 5712   | Labels: Cuối cầu thang bên phải tòa B tầng 2
ID: 5733   | Labels: E404 (2)
ID: 5759   | Labels: Phòng E103a
ID: 5766   | Labels: Phòng 207 (Tòa F)
ID: 5888   | Labels: Phòng bộ môn vật lí địa cầu
ID: 5981   | Labels: Phòng 106a (Tòa F)
ID: 5985   | Labels: Cửa 2 phòng E203
ID: 6004   | Labels: Phòng 101 (Tòa F)
ID: 6070   | Labels: B.43
ID: 6134   | Labels: Phòng thí nghiệm sinh môi
ID: 6221   | Labels: Cầu thang trung tâm & Giảng đường (Tòa F - Trệt)
ID: 6284   | Labels: Cầu thang y tế (Tòa E) - Lầu4
ID: 6320   | Labels: E403 (2)
ID: 6356   | Labels: Phòng 110 (Tòa F)
ID: 6383   | Labels: Phòng không tên A (Lầu4)
ID: 6446   | Labels: Phòng 202b (Tòa E)
ID: 6538   | Labels: Phòng 109 (Tòa F)
ID: 6681   | Labels: Phòng thí nghiệm công nghệ sinh học phân tử A
ID: 6770   | Labels: Phòng bộ môn hải dương - khí tượng - thuỷ văn B.33
ID: 6867   | Labels: Văn phòng Tiếp dân & TTPCH (Tòa F)
ID: 7043   | Labels: H2.1
ID: 7059   | Labels: Văn phòng trung tâm sáng tạo khoa học kỹ thuật B.31
ID: 7103   | Labels: Phòng KH & CN (Tòa F)
ID: 7155   | Labels: Phòng 17 (Tòa F)
ID: 7270   | Labels: Phòng 202a (Tòa E)
ID: 7369   | Labels: Phòng E101a - Phòng họp (Lầu1)
ID: 7458   | Labels: Nhà vệ sinh nam cạnh cầu thang (Lầu2)
ID: 7477   | Labels: Cầu thang 2 (Lầu2)
ID: 7564   | Labels: Phòng 300 (Tòa F)
ID: 7570   | Labels: Cầu thang trung tâm Tòa F (Tầng 3)
ID: 7719   | Labels: Cầu thang phải (Tầng 1) & Giao điểm Tòa E
ID: 7738   | Labels: Đầu cầu thang khu H
ID: 8005   | Labels: Phòng 112 (Tòa F)
ID: 8140   | Labels: Phòng thí nghiệm hóa phân tích chuyên ngành B.26
ID: 8160   | Labels: Phòng không tên (Tòa F - T2)
ID: 8192   | Labels: Phòng thông tin truyền thông
ID: 8299   | Labels: E403 (1)
ID: 8317   | Labels: Nhà vệ sinh nữ tòa B tầng 2
ID: 8331   | Labels: Cửa không nhãn (Tòa F - Tầng trệt)
ID: 8365   | Labels: Phòng E101b - DesLab (Lầu1)
ID: 8390   | Labels: Cầu thang phải 2 Tòa F (Tầng 1)
ID: 8422   | Labels: Cầu thang khu H
ID: 8447   | Labels: Phòng 201a (Tòa E)
ID: 8475   | Labels: Phòng E102
ID: 8483   | Labels: Cửa E302 (1)
ID: 8490   | Labels: Cầu thang nhỏ xuống bãi xe (Tòa F)
ID: 8494   | Labels: Phòng E104
ID: 8500   | Labels: Giảng đường 2
ID: 8507   | Labels: Phòng không tên D - cửa 2 (Lầu4)
ID: 8521   | Labels: Phòng thí nghiệm chuyển hóa sinh học B.13
ID: 8524   | Labels: Cầu thang phải Tòa F (Tầng trệt)
ID: 8628   | Labels: Phòng thí nghiệm phân tích trung tâm B.16
ID: 8644   | Labels: Phòng F303 (Cửa 1)
